Year,Road Segment ID,Road Name,Length(km),Vehicle Type,Vehicle Classification,Traffic Density,Total AADT
2021,C:2,MENDOZA,6.61,Public,Taxi,541,3575
2021,C:2,PRES. QUIRINO AVE.,3.6,Public,Taxi,775,2789
2021,C:3,ARANETA AVE.,10.76,Public,Taxi,219,2361
2021,C:4,EDSA,23.08,Public,Taxi,836,19287
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,Taxi,109,4685
2021,R:1,ROXAS BLVD.,11.47,Public,Taxi,1023,11734
2021,R:2,TAFT AVE.,16.5,Public,Taxi,362,5970
2021,R:3,SSH,24.27,Public,Taxi,237,5740
2021,R:4,SHAW BLVD.,7.68,Public,Taxi,1036,7958
2021,R:5,ORTIGAS AVE.,5.54,Public,Taxi,573,3176
2021,R:6,MAGSAYSAY BLVD.,2.2,Public,Taxi,3298,7255
2021,R:6,AURORA BLVD.,11.42,Public,Taxi,368,4200
2021,R:7,QUEZON AVE.,7.73,Public,Taxi,1700,13139
2021,R:7,COMMONWEALTH AVE.,12.4,Public,Taxi,1183,14663
2021,R:8,A. BONIFACIO,15.98,Public,Taxi,69,1101
2021,R:9,RIZAL AVE.,15.95,Public,Taxi,219,3494
2021,R:10,DEL PAN,7.32,Public,Taxi,327,2391
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,Taxi,2070,7659
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,Taxi,579,4834
2021,C:1,RECTO,3.24,Public,PUB,133,431
2021,C:2,MENDOZA,6.61,Public,PUB,10,68
2021,C:2,PRES. QUIRINO AVE.,3.6,Public,PUB,16,56
2021,C:3,ARANETA AVE.,10.76,Public,PUB,0,1
2021,C:4,EDSA,23.08,Public,PUB,239,5527
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,PUB,8,340
2021,R:1,ROXAS BLVD.,11.47,Public,PUB,137,1575
2021,R:2,TAFT AVE.,16.5,Public,PUB,113,1865
2021,R:3,SSH,24.27,Public,PUB,15,367
2021,R:4,SHAW BLVD.,7.68,Public,PUB,42,325
2021,R:5,ORTIGAS AVE.,5.54,Public,PUB,573,3177
2021,R:6,MAGSAYSAY BLVD.,2.2,Public,PUB,178,391
2021,R:6,AURORA BLVD.,11.42,Public,PUB,88,1005
2021,R:7,QUEZON AVE.,7.73,Public,PUB,144,1111
2021,R:7,COMMONWEALTH AVE.,12.4,Public,PUB,474,5879
2021,R:8,A. BONIFACIO,15.98,Public,PUB,34,550
2021,R:9,RIZAL AVE.,15.95,Public,PUB,34,543
2021,R:10,DEL PAN,7.32,Public,PUB,20,147
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,PUB,130,480
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,PUB,102,855
